[2026-05-04T17:22:48.078357Z] Helper 2+5 (frontend server + instrumentation) started
[2026-05-04T17:22:48.079254Z] Serving: C:\huck stage 2\huckleberry\frontend\src\Huckleberry_AI_phase2.v1.0.0.html
[2026-05-04T17:22:48.080000Z] Port: 8080
[2026-05-04T17:22:48.080617Z] Instrumentation: Helper 5 JS injected before </head>
[2026-05-04T17:24:07.570410Z] 127.0.0.1 - "GET / HTTP/1.1" 200 -
[2026-05-04T17:24:07.571472Z] GET / -> 200 (instrumented HTML, 170931 bytes)
[2026-05-04T17:25:09.718761Z] 127.0.0.1 - "GET / HTTP/1.1" 200 -
[2026-05-04T17:25:09.723226Z] GET / -> 200 (instrumented HTML, 170931 bytes)
[2026-05-04T17:25:09.927776Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:25:09.934951Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:25:09.940650Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:25:10.023879Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:25:10.248566Z] 127.0.0.1 - code 404, message File not found
[2026-05-04T17:25:10.249330Z] 127.0.0.1 - "GET /favicon.ico HTTP/1.1" 404 -
[2026-05-04T17:25:14.934819Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:25:39.954348Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:25:39.968741Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:25:40.895814Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:26:10.611127Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:26:10.620890Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:26:20.909552Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:26:21.269140Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:26:25.786769Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:26:25.789585Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:26:25.808341Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:26:25.810496Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:26:26.019080Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:26:35.737643Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:26:35.741768Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:26:35.751766Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:26:35.754198Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:26:35.767322Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
[2026-05-04T17:26:39.936190Z] 127.0.0.1 - "POST /telemetry HTTP/1.1" 200 -
